FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING	RESTING_MgO2/hr	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	FAS	NAS	MgO2/hr_Net	Swim performance	Notes		
CTON067_30	Tongue Reef	Core	30	0.03618	2022-07-31	1	dell	1	AM	10:13:00	161.95	5.859351	2022-07-31	1	dell	1	AM	10:13	435.396	15.75262728	2.688459401	273.446	9.89327628	good			
CTON068_30	Tongue Reef	Core	30	0.04077	2022-07-30	4	asus	2	PM	16:06:00	188.505	7.68534885	2022-07-30	4	asus	2	PM	16:06	425.38	17.3427426	2.256597968	236.875	9.65739375	good			
CTON069_30	Tongue Reef	Core	30	0.03792	2022-08-01	2	dell	1	AM	10:42:00	141.41	5.3622672	2022-08-01	2	dell	1	AM	10:42	323.081	12.25123152	2.284711124	181.671	6.88896432	good			
CTON110_30	Tongue Reef	Core	30	0.04690	2022-07-30	3	dell	1	PM	15:16:00	140.452	6.5871988	2022-08-02	3	dell	1	PM	15:16	419.681	19.6830389	2.988074218	279.229	13.0958401	good			
CVLA045_30	Vlassof Cay	Core	30	0.04482	2022-08-01	4	asus	2	AM	11:57:00	207.649	9.30682818	2022-08-01	4	asus	2	AM	11:57	447.24	20.0452968	2.153826891	239.591	10.73846862	good			
CVLA046_30	Vlassof Cay	Core	30	0.02875	2022-07-31	2	dell	1	AM	10:41:00	196.33	5.6444875	2022-07-31	2	dell	1	AM	10:41	473.37	13.6093875	2.411093567	277.04	7.9649	good			
CVLA047_30	Vlassof Cay	Core	30	0.03180	2022-07-31	3	asus	2	PM	17:26:00	217.464	6.9153552	2022-07-31	3	asus	2	PM	17:26	425.691	13.5369738	1.957524004	208.227	6.6216186	good			
CVLA053_30	Vlassof Cay	Core	30	0.04733	2022-08-02	1	dell	1	AM	9:03:00	131.321	6.21542293	2022-08-02	1	dell	1	AM	9:03	386.195	18.27860935	2.940847237	254.874	12.06318642	good			
CVLA054_30	Vlassof Cay	Core	30	0.03988	2022-07-31	4	dell	1	PM	17:36:00	176.685	7.0461978	2022-07-31	4	dell	1	PM	17:36	402.965	16.0702442	2.280697286	226.28	9.0240464	good			
CVLA057_30	Vlassof Cay	Core	30	0.04228	2022-08-01	4	asus	2	PM	17:40:00	179.972	7.60921616	2022-08-01	4	asus	2	PM	17:40	414.902	17.54205656	2.305369724	234.93	9.9328404	good			
CVLA097_30	Vlassof Cay	Core	30	0.05225	2022-08-01	4	dell	1	PM	17:19:00	123.96	6.47691	2022-08-01	4	dell	1	PM	17:19	360.915	18.85780875	2.911544046	236.955	12.38089875	good			
CVLA104_30	Vlassof Cay	Core	30	0.04705	2022-08-01	2	asus	2	PM	16:38:00	141.838	6.6734779	2022-08-01	2	asus	2	PM	16:38	390.164	18.3572162	2.750772008	248.326	11.6837383	good			
LCHA114_31.5	Chauvel Reef	Leading	31.5	0.03905	2022-08-16	1	dell	1	PM	16:22:47	145.424	5.6788072	2022-08-16	1	dell	1	PM	16:22:47	378.967	14.79866135	2.605945374	233.543	9.11985415	good			
LCHA119_31.5	Chauvel Reef	Leading	31.5	0.02561	2022-08-17	2	dell	1	PM	16:41:53	248.936	6.37525096	2022-08-17	2	dell	1	PM	16:41:53	398.797	10.21319117	1.602006138	149.861	3.83794021	okay			
LCHA125_31.5	Chauvel Reef	Leading	31.5	0.03203	2022-08-16	1	asus	2	PM	16:40:55	188.417	6.03499651	2022-08-15	3	dell	1	AM	12:23:06	309.177	9.90293931	1.640918813	120.76	3.8679428	good	used second slope		
LCHA135_31.5	Chauvel Reef	Leading	31.5	0.03524	2022-08-15	3	dell	1	AM	12:23:26	171.292	6.03633008	2022-08-18	1	asus	2	AM	10:46:59	321.888	11.34333312	1.879177078	150.596	5.30700304	good			
LCHA136_31.5	Chauvel Reef	Leading	31.5	0.02922	2022-08-15	2	asus	2	AM	12:23:26	190.854	5.57675388	2022-08-15	2	asus	2	AM	12:23:26	420.387	12.28370814	2.202662768	229.533	6.70695426	good			
LCHA138_31.5	Chauvel Reef	Leading	31.5	0.02072	2022-08-16	4	asus	2	PM	17:56:41	196.086	4.06290192	2022-08-16	4	asus	2	PM	17:56:41	397.072	8.22733184	2.024989035	200.986	4.16442992	good			
