FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	DRY_WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING_ENDTIME	RESTING_RUNTIME	RESTING	RESTING_MgO2/hr	RESTING_RESPR	RESTING_MgO2/hr_RESPR	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	MAX_RESPR	MAX_MgO2/hr_RESPR	FAS	NAS	MgO2/hr_Net	steepest_slope	Swim performance	Notes
CSUD074_31.5	Sudbury Reef	Core	31.5	0.0471	0.03676	14/08/2022	3	dell	1	AM	13:15:06	18:22:22	5:07:16	156.912	7.3905552	202.24	7.43	14/08/2022	3	dell	1	AM	13:15:06	458.928	16.87019328	634.3352	23.31816	3.138379542	432.0952	15.88816	1	good	
CSUD079_27	Sudbury Reef	Core	27	0.0454	0.0344	16/06/2022	1	asus	2	AM	10:12:00	13:50:33	3:38:33	181.789	8.2532206	257.95	8.87	27/06/2022	2	asus	2	PM	17:23	373.0918579	12.83435991	517.3348	17.79632	2.006349493	259.3848	8.92632	1	good	2nd cycle
CSUD079_28.5	Sudbury Reef	Core	28.5	0.0454	0.0344	15/07/2022	1	asus	2	PM	15:12:00	20:20:33	5:08:33	159.936	7.2610944	214.8	7.39	15/07/2022	1	asus	2	PM	15:12	290.594	9.9964336	422.4441	14.53208	1.966451962	207.6441	7.14208	3	good	"third slope used; first slope has max of 273.432; during second run, very poor first slope"
CSUD079_30	Sudbury Reef	Core	30	0.0454	0.0344	1/08/2022	1	asus	2	AM	10:32:00	15:34:08	5:02:08	187.651	8.5193554	243.49	8.38	1/08/2022	1	asus	2	AM	10:32	256.4946	8.82341424	362.6891584	12.51056685	1.492907739	119.1991584	4.13056685	1	good	
CSUD079_31.5	Sudbury Reef	Core	31.5	0.0454	0.0344	17/08/2022	1	asus	2	AM	10:21:59	15:30:15	5:08:16	209.041	9.4904614	275.25	9.47	17/08/2022	1	asus	2	AM	10:21:59	277.243	9.5371592	458.4304	15.77001	1.665259768	183.1804	6.30001	1	good	
CSUD085_27	Sudbury Reef	Core	27	0.03672	0.02603	25/06/2022	4	asus	2	AM	10:35:00	14:04:44	3:29:44	118.91	4.3663752	167.29	4.35	26/06/2022	1	asus	2	PM	18:16	292.0616	7.602363448	430.9474	11.21756	2.578749425	263.6574	6.86756	1	good	Max taken from 3rd cycle
CSUD085_28.5	Sudbury Reef	Core	28.5	0.03672	0.02603	17/07/2022	3	asus	2	PM	17:30:00	21:17:29	3:47:29	169.669	6.23024568	233.74	6.08	17/07/2022	3	asus	2	PM	17:30	314.434	8.18471702	477.4143	12.42709	2.043929276	243.6743	6.34709	2	poor	didn't settle - short burst swimming
CSUD085_30	Sudbury Reef	Core	30	0.03672	0.02603	2/08/2022	4	dell	1	AM	10:29:00	15:16:36	4:47:36	146.949	5.39596728	200.29	5.21	2/08/2022	4	dell	1	AM	10:29	386.907	10.07118921	595.6588653	15.5473236	2.984131209	395.3688653	10.3373236	1	good	
CSUD085_31.5	Sudbury Reef	Core	31.5	0.03672	0.02603	16/08/2022	4	dell	1	AM	11:39:23	15:44:17	4:04:54	183.82	6.7498704	252.56	6.57	16/08/2022	4	dell	1	AM	11:39:23	346.043	9.00749929	524.925	13.6638	2.079726027	272.365	7.0938	3	good	
CSUD088_27	Sudbury Reef	Core	27	0.0284	0.02495	16/06/2022	3	asus	2	AM	10:29:00	13:50:33	3:21:33	167.306	4.7514904	207.59	5.18	27/06/2022	1	asus	2	PM	14:46	305.0159001	7.610146707	376.1528	9.385012	1.811778378	168.5628	4.205012	1	good	"Shallow first slope, potential problem with chamber/probe??"
CTON060_27	Tongue Reef	Core	27	0.04907	0.04011	12/06/2022	2	dell	1	PM	14:24:00	17:58:57	3:34:57	157.656	7.73617992	203.18	8.14	26/06/2022	4	asus	2	PM	17:07	263.9981	10.58896379	355.1364	14.24452	1.749941032	151.9564	6.10452	1	good	
CTON060_28.5	Tongue Reef	Core	28.5	0.04907	0.04011	18/07/2022	2	dell	1	AM	10:12:00	14:57:48	4:45:48	170.17	8.3502419	196.93	7.9	18/07/2022	2	dell	1	AM	10:12	294.25	11.8023675	397.4532	15.94185	2.017955696	200.5232	8.04185	2	good	max taken from third slope
CTON060_30	Tongue Reef	Core	30	0.04907	0.04011	31/07/2022	2	asus	2	PM	16:36:00	21:40:46	5:04:46	138.077	6.77543839	166.27	6.67	31/07/2022	2	asus	2	PM	16:36	350.435	14.05594785	471.4372381	18.9609711	2.842724303	305.1672381	12.2909711	2	good	
CTON060_31.5	Tongue Reef	Core	31.5	0.04907	0.04011	16/08/2022	2	dell	1	PM	16:50:47	21:23:39	4:32:52	177.99	8.7339693	216.44	8.68	16/08/2022	2	dell	1	PM	16:50:47	310.869	12.46895559	502.792	20.16699	2.323385945	286.352	11.48699	3	good	used third slope
CTON061_27	Tongue Reef	Core	27	0.02477	0.01816	16/06/2022	4	dell	1	AM	10:01:00	13:50:39	3:49:39	179.077	4.43573729	236.75	4.3	1/07/2022	3	dell	1	PM	13:57	335.425	6.091318	531.6452	9.654677	2.245273721	294.8952	5.354677	1	good	"updated; original max. was 216.162; NAS below 1, poor swim; briefly escaped into sump; 29/06/2022; poor data quailty consider for removal"
CTON061_28.5	Tongue Reef	Core	28.5	0.02477	0.01816	18/07/2022	2	dell	1	PM	15:42:00	20:07:14	4:25:14	186.898	4.62946346	250.9	4.56	18/07/2022	2	dell	1	PM	15:42	351.274	6.37913584	378.1107	9.365803	2.053904167	127.2107	4.805803	1	okay	
CTON061_30	Tongue Reef	Core	30	0.02477	0.01816	31/07/2022	4	asus	2	PM	17:45:00	21:40:46	3:55:46	218.2014	5.404848678	290.8	5.28	31/07/2022	4	asus	2	PM	17:45	432.275	7.850114	624.3625822	11.36938005	2.153291676	333.5625822	6.08938005	1	poor	
CTON061_31.5	Tongue Reef	Core	31.5	0.02477	0.01816	16/08/2022	1	dell	1	AM	10:14:00	15:44:17	5:30:17	172.274	4.26722698	229.76	4.17	16/08/2022	1	dell	1	AM	10:14:00	458.17	8.3203672	673.137	12.22417	2.931455635	443.377	8.05417	1	good	
CTON062_27	Tongue Reef	Core	27	0.046	0.03653	15/06/2022	3	dell	1	PM	15:21:00	19:12:20	3:51:20	189.2693	8.7063878	238.42	8.71	28/06/2022	2	asus	2	PM	15:28	354.1645919	12.93763254	490.5273	17.91896	2.057285878	252.1073	9.20896	2	good  	"good swim; shallow first slope, problem with chamber/probe??; used 3rd cycle, 2nd cycle was almost the same as the first cycle (not counting 'first' - mess-up - cycle)"
CTON062_28.5	Tongue Reef	Core	28.5	0.046	0.03653	15/07/2022	2	asus	2	PM	15:43:00	20:20:33	4:37:33	123.3527	5.6742242	155.3	5.67	15/07/2022	2	asus	2	PM	15:43	397.797	14.53152441	525.8106	19.20786	3.38762963	370.5106	13.53786	1	good	
CTON062_30	Tongue Reef	Core	30	0.046	0.03653	1/08/2022	3	dell	1	PM	16:49:00	21:38:16	4:49:16	135.048	6.212208	164.88	6.02	1/08/2022	3	dell	1	PM	16:49	379.707	13.87069671	533.948774	19.5584	3.248903654	369.068774	13.5384	1	good	
